tensor(816.0934, device='cuda:0', dtype=torch.float64)
tensor(849.1262, device='cuda:0', dtype=torch.float64)
tensor(942.2987, device='cuda:0', dtype=torch.float64)
tensor(983.0549, device='cuda:0', dtype=torch.float64)
tensor(-2034.6718, device='cuda:0', dtype=torch.float64)
tensor(839.1365, device='cuda:0', dtype=torch.float64)
tensor(891.3111, device='cuda:0', dtype=torch.float64)
tensor(998.2529, device='cuda:0', dtype=torch.float64)
tensor(1020.2872, device='cuda:0', dtype=torch.float64)
tensor(-2701.8386, device='cuda:0', dtype=torch.float64)
tensor(846.7601, device='cuda:0', dtype=torch.float64)
tensor(921.8534, device='cuda:0', dtype=torch.float64)
tensor(918.7894, device='cuda:0', dtype=torch.float64)
tensor(1001.2991, device='cuda:0', dtype=torch.float64)
tensor(-3100.2416, device='cuda:0', dtype=torch.float64)
tensor(843.7466, device='cuda:0', dtype=torch.float64)
tensor(890.1052, device='cuda:0', dtype=torch.float64)
tensor(953.0355, device='cuda:0', dtype=torch.float64)
tensor(1039.2644, device='cuda:0', dtype=torch.float64)
tensor(-3369.9914, device='cuda:0', dtype=torch.float64)
tensor(868.8499, device='cuda:0', dtype=torch.float64)
tensor(875.9164, device='cuda:0', dtype=torch.float64)
tensor(968.7235, device='cuda:0', dtype=torch.float64)
tensor(958.2252, device='cuda:0', dtype=torch.float64)
tensor(-3596.4027, device='cuda:0', dtype=torch.float64)
tensor(835.4712, device='cuda:0', dtype=torch.float64)
tensor(892.9543, device='cuda:0', dtype=torch.float64)
tensor(979.5476, device='cuda:0', dtype=torch.float64)
tensor(1031.3878, device='cuda:0', dtype=torch.float64)
tensor(-3672.5539, device='cuda:0', dtype=torch.float64)
tensor(868.2845, device='cuda:0', dtype=torch.float64)
tensor(950.7123, device='cuda:0', dtype=torch.float64)
tensor(1010.1540, device='cuda:0', dtype=torch.float64)
tensor(1081.2498, device='cuda:0', dtype=torch.float64)
tensor(-3742.3578, device='cuda:0', dtype=torch.float64)
tensor(864.7346, device='cuda:0', dtype=torch.float64)
tensor(893.6638, device='cuda:0', dtype=torch.float64)
tensor(987.6666, device='cuda:0', dtype=torch.float64)
tensor(1043.9034, device='cuda:0', dtype=torch.float64)
tensor(-3775.3681, device='cuda:0', dtype=torch.float64)
tensor(875.1537, device='cuda:0', dtype=torch.float64)
tensor(939.8366, device='cuda:0', dtype=torch.float64)
tensor(1042.8185, device='cuda:0', dtype=torch.float64)
tensor(1060.7353, device='cuda:0', dtype=torch.float64)
tensor(-3790.9482, device='cuda:0', dtype=torch.float64)
tensor(860.5413, device='cuda:0', dtype=torch.float64)
tensor(903.9102, device='cuda:0', dtype=torch.float64)
tensor(1027.6798, device='cuda:0', dtype=torch.float64)
tensor(1067.6705, device='cuda:0', dtype=torch.float64)
tensor(-3846.6320, device='cuda:0', dtype=torch.float64)
tensor(857.7267, device='cuda:0', dtype=torch.float64)
tensor(894.5016, device='cuda:0', dtype=torch.float64)
tensor(912.7810, device='cuda:0', dtype=torch.float64)
tensor(1018.9506, device='cuda:0', dtype=torch.float64)
tensor(-3893.4288, device='cuda:0', dtype=torch.float64)
tensor(858.2014, device='cuda:0', dtype=torch.float64)
tensor(882.5026, device='cuda:0', dtype=torch.float64)
tensor(963.6972, device='cuda:0', dtype=torch.float64)
tensor(1080.4384, device='cuda:0', dtype=torch.float64)
tensor(-3779.8848, device='cuda:0', dtype=torch.float64)
tensor(851.8796, device='cuda:0', dtype=torch.float64)
tensor(885.0946, device='cuda:0', dtype=torch.float64)
tensor(996.5067, device='cuda:0', dtype=torch.float64)
tensor(1026.0215, device='cuda:0', dtype=torch.float64)
tensor(-3808.8032, device='cuda:0', dtype=torch.float64)
tensor(859.6600, device='cuda:0', dtype=torch.float64)
tensor(871.9445, device='cuda:0', dtype=torch.float64)
tensor(995.2128, device='cuda:0', dtype=torch.float64)
tensor(981.0421, device='cuda:0', dtype=torch.float64)
tensor(-3857.1841, device='cuda:0', dtype=torch.float64)
tensor(858.8752, device='cuda:0', dtype=torch.float64)
tensor(942.1501, device='cuda:0', dtype=torch.float64)
tensor(1061.8673, device='cuda:0', dtype=torch.float64)
tensor(1129.7401, device='cuda:0', dtype=torch.float64)
tensor(-3874.8486, device='cuda:0', dtype=torch.float64)
tensor(860.7673, device='cuda:0', dtype=torch.float64)
tensor(892.7998, device='cuda:0', dtype=torch.float64)
